Population density,Distance to street,Rainfall,Temperature,Wind speed,Wind direction,Distance to industrial,Humidity,Elevation,Traffic volume,Land surface temperature (LST),Normalized difference vegetation index (NDVI),Distance to transportation,PM2.5
3.63706,960,276.617,17.4518,2.21237,241.314,690.652,37.2108,1674,0,60.7504,0.0924036,1004.489929,0
541.226,228.473,280.141,17.4452,2.15533,238.853,241.868,37.2389,1636,0,59.4817,0.0570164,430.4648743,0
417.61,295.466,282.448,17.4624,2.10402,236.552,901.998,37.2023,1704,0,59.4726,0.0809943,323.1098938,0
0,228.473,285.178,17.445,2.0681,235.294,966.075,37.2587,1732,0,60.7778,0.142484,502.1951904,0
0,134.164,284.663,17.5092,2.03359,233.574,540.833,37.1046,1639,294.6188817,59.0458,0.0503211,208.0865173,0
0,150,283.424,17.5269,2.04358,233.767,60,37.052,1627,428.696119,59.5195,0.040319,283.0194397,0
0,60,281.533,17.4989,2.09634,235.834,330,37.0999,1607,8613.672662,60.296,0.125066,90.55384827,0
0,150,279.802,17.4729,2.14408,237.942,384.187,37.1554,1589,0,59.4372,0.191793,310.6445007,0
502.736,637.809,277.884,17.4642,2.18331,239.675,872.067,37.1698,1644,0,59.3501,0.0946956,863.3076172,0
3.99947,60,275.309,17.482,2.21901,240.591,42.4264,37.0887,1580,0,60.5253,0.136993,303.6445313,0
0,120,272.471,17.4815,2.26896,242.877,551.543,37.0816,1570,351.4637317,59.6243,0.0663035,405.2160034,0
0,523.927,269.757,17.4879,2.31136,245.036,865.332,37.0661,1550,0,59.9602,0.201765,524.9761963,0
0,210,267.098,17.5004,2.34834,247.097,600,37.0409,1533,6.935717358,59.4712,0.0677443,233.4523468,0
270.43,60,264.942,17.5157,2.38767,245.95,465.725,36.862,1461,1951.339227,59.4009,0.0667453,210.2379608,0
49.1932,42.4264,270.544,17.5059,2.29447,242.019,308.869,36.9238,1487,3569.501165,59.8457,0.20479,529.5280762,0
11.2713,256.32,278.409,17.5289,2.13466,236.429,1181.86,36.9716,1508,0,59.2567,0.617041,444.072052,0
0,150,280.688,17.5528,2.07639,234.398,729.932,36.9495,1550,94.45391004,60.1367,0.0195779,161.5549469,0
0,120,283.384,17.5874,2.00269,231.945,42.4264,36.9147,1559,785.7879728,59.7366,0.165199,360.138855,0
278.285,67.082,284.577,17.5858,1.98217,231.35,276.586,36.9344,1559,1339.388916,59.526,0.0955147,348.8552856,0
246.834,67.082,285.579,17.5329,2.00119,232.3,402.492,37.0588,1597,0,59.3056,0.0964409,101.9803925,0
27.3741,0,284.174,17.6606,1.93668,229.52,189.737,36.7742,1514,4237.742838,59.9897,0.0689175,125.2996445,0
0,60,281.909,17.6246,2.00464,231.536,540.833,36.8046,1508,0.376041762,59.4273,0.0494422,219.3171234,0
19.5408,90,274.519,17.5575,2.19361,236.537,150,36.7737,1450,2724.077681,59.6344,0.18163,122.0655594,0
72.7045,30,267.461,17.5331,2.34701,240.237,488.365,36.6544,1406,12245.67368,60.5594,0.0405795,100,0
0,30,263.217,17.5228,2.42214,245.278,722.496,36.7358,1411,1159.184492,59.7763,0.0151442,120.415947,0
494.137,30,267.652,17.521,2.3452,241.806,829.759,36.7608,1421,7101.001485,60.0266,0.0535041,591.3543701,0
494.137,30,267.652,17.521,2.3452,241.806,829.759,36.7608,1421,7101.001485,60.0266,0.0535041,591.3543701,0
0,0,273.92,17.5134,2.22848,239.462,1027.03,36.9384,1494,7450.642156,59.9584,0.117453,89.44271851,0
404.648,30,279.546,17.5971,2.06914,233.298,792.023,36.8085,1490,4993.283288,59.6491,0.0215593,317.8049622,0
61.6594,150,279.564,17.6264,2.04961,232.234,510.882,36.7322,1456,709.6376513,59.6964,0.237766,219.3171234,0
0,60,274.898,17.5851,2.17056,234.933,792.591,36.6833,1424,7787.209035,60.0796,0.291025,330.6054993,0
0,210,268.714,17.5497,2.31623,238.242,161.555,36.5907,1394,0,60.4044,0.0968006,219.5449829,0
0,42.4264,282.842,17.6868,1.94304,229.424,766.616,36.6952,1469,0,59.6804,0.288236,120.415947,0
48.4519,67.082,283.455,17.7769,1.86604,227.014,1389.75,36.541,1444,0,59.8301,0.210303,333.7663879,0
0.128096,394.588,280.689,17.6833,1.98925,229.963,1800.25,36.6248,1389,0,61.2799,0.141329,544.2426147,0
0,108.167,284.201,17.7081,1.90219,228.295,750,36.6817,1458,4191.503319,59.5492,0.34464,392.045929,0
0,0,285.865,17.6044,1.94621,230.095,1064.05,36.9086,1538,11564.13765,59.8193,0.140685,321.4031677,0
3.05457,30,287.64,17.4809,2.00146,232.559,904.489,37.1865,1596,5326.038734,60.0842,0.109508,130.3840485,0
0,60,291.181,17.3363,2.04096,234.685,690.652,37.5239,1632,5117.324476,59,0.0591907,94.33981323,0
104.816,84.8528,293.882,17.2167,2.07776,236.694,816.088,37.8029,1682,0,59.1145,0.313259,734.9829712,0
39.1874,0,303.096,16.9331,2.12394,239.79,589.406,38.4491,1656,0,59.2061,0.224429,518.5556641,0
106.698,67.082,308.856,16.7667,2.1489,241.578,662.722,38.8202,1618,2609.423208,59.1099,0.234058,140.3566895,0
14.8959,240,288.078,17.4038,2.04668,234.653,424.264,37.3639,1613,0,59.1972,0.266597,452.2167664,0
0,349.857,265.848,17.5049,2.35168,251.233,953.415,37.2001,1599,0,61.1892,0.126683,837.6156616,0
0,632.851,262.131,17.5525,2.3727,255.616,152.971,37.2074,1499,0,60.8878,0.293974,662.4197998,0
0,375.899,260.061,17.5961,2.35961,260.455,540,37.3147,1634,0,61.129,0.0938049,1320.037842,0
0,666.108,257.622,17.627,2.38781,260.466,882.326,37.1593,1379,0,58.9118,0.610037,636.3961182,0
27.4626,339.411,259.796,17.5733,2.40807,255.256,301.496,37.0542,1417,0,59.6659,0.0454861,389.4868469,0
0,296.985,263.841,17.5242,2.38164,250.751,465.725,37.0599,1491,0,60.335,0.25896,260.7680969,0
440.624,161.555,260.189,17.5463,2.44287,250.631,182.483,36.8575,1418,36.04003203,59.4148,0.0748345,174.6424866,0
4.05336,308.869,255.483,17.6036,2.47432,255.745,300,36.8424,1349,26.19030238,59.5414,0.462738,393.9543152,0
47.8813,254.558,254.377,17.6046,2.49936,255.289,123.693,36.7659,1330,0,60.1278,0.308676,661.8912354,0
0,123.693,251.576,17.6119,2.55528,254.936,582.495,36.61,1305,1643.322081,61.3545,0.0886174,407.0626526,0
0,360,248.693,17.8063,2.39244,270.523,442.945,37.0172,1293,3704.397648,61.1316,0.199958,332.4154053,0
198.163,1209.34,245.69,17.9876,2.26051,282.409,1492.18,37.1555,1309,3540.76445,60.5249,0.262736,353.5534058,0
